Age;Living;Death Age
0;331;104
1;378;86
2;361;74
3;332;83
4;351;104
5;359;85
6;335;96
7;337;105
8;378;106
9;319;118
10;364;96
11;349;99
12;318;92
13;322;93
14;315;102
15;322;105
16;339;108
17;336;160
18;344;258
19;431;314
20;475;437
21;466;458
22;512;437
23;545;464
24;596;480
25;633;515
26;662;534
27;733;507
28;738;605
29;760;552
30;773;641
31;797;746
32;853;653
33;866;651
34;914;662
35;897;738
36;876;720
37;905;758
38;834;717
39;836;781
40;829;925
41;853;708
42;860;657
43;897;762
44;853;717
45;802;747
46;810;721
47;783;726
48;764;789
49;789;802
50;722;963
51;737;951
52;679;1008
53;651;1060
54;620;1081
55;585;1095
56;485;1082
57;412;1081
58;413;1036
59;371;1098
60;309;1044
61;269;994
62;225;971
63;192;942
64;158;875
65;124;762
66;92;654
67;77;555
68;63;434
69;38;318
70;32;239
71;27;204
72;20;157
73;19;102
74;11;79
75;6;50
76;5;57
77;7;32
78;3;40
79;3;27
80;3;37
81;2;9
82;3;6
83;1;8
84;1;4
85;1;9
86;2;5
87;2;2
88;1;9
89;1;2
90;0;6
91;0;2
92;0;2
93;0;0
94;0;0
95;0;1
