[14:51:58][jominiapplication.cpp:250]: Changing game speed to: 2

[14:52:20][jominiapplication.cpp:250]: Pause Toggled! Paused: false, PlayerID: 0

[14:53:43][jominiapplication.cpp:250]: Pause Toggled! Paused: true, PlayerID: -1

[14:53:48][jominiapplication.cpp:250]: Pause Toggled! Paused: false, PlayerID: 0

[14:54:01][jominiapplication.cpp:250]: Pause Toggled! Paused: true, PlayerID: -1

[14:54:04][jominiapplication.cpp:250]: Pause Toggled! Paused: false, PlayerID: 0

[14:54:04][jominiapplication.cpp:250]: Pause Toggled! Paused: true, PlayerID: -1

[14:54:05][jominiapplication.cpp:250]: Pause Toggled! Paused: false, PlayerID: 0

[15:04:42][jominiapplication.cpp:250]: Changing game speed to: 4

[15:04:59][jominiapplication.cpp:250]: Pause Toggled! Paused: true, PlayerID: -1

[15:05:13][jominiapplication.cpp:250]: Pause Toggled! Paused: false, PlayerID: 0

[15:05:24][jominiapplication.cpp:250]: Pause Toggled! Paused: true, PlayerID: 0

[15:05:48][jominiapplication.cpp:250]: Pause Toggled! Paused: false, PlayerID: 0

[15:06:08][jominiapplication.cpp:250]: Pause Toggled! Paused: true, PlayerID: 0

[15:07:40][jominiapplication.cpp:250]: Pause Toggled! Paused: false, PlayerID: 0

[15:07:51][jominiapplication.cpp:250]: Pause Toggled! Paused: true, PlayerID: -1

[15:07:55][jominiapplication.cpp:250]: Pause Toggled! Paused: false, PlayerID: 0

[15:10:18][jominiapplication.cpp:250]: Pause Toggled! Paused: true, PlayerID: -1

[15:10:22][jominiapplication.cpp:250]: Pause Toggled! Paused: false, PlayerID: 0

[15:13:36][jominiapplication.cpp:250]: Pause Toggled! Paused: true, PlayerID: -1

[15:13:40][jominiapplication.cpp:250]: Pause Toggled! Paused: false, PlayerID: 0

[15:13:48][jominiapplication.cpp:250]: Pause Toggled! Paused: true, PlayerID: -1

[15:13:52][jominiapplication.cpp:250]: Pause Toggled! Paused: false, PlayerID: 0

[15:15:50][jominiapplication.cpp:250]: Pause Toggled! Paused: true, PlayerID: 0

[15:16:09][jominiapplication.cpp:250]: Pause Toggled! Paused: false, PlayerID: 0

[15:16:40][jominiapplication.cpp:250]: Pause Toggled! Paused: true, PlayerID: 1

[15:16:55][jominiapplication.cpp:250]: Pause Toggled! Paused: false, PlayerID: 0

[15:17:48][jominiapplication.cpp:250]: Pause Toggled! Paused: true, PlayerID: 1

[15:18:08][jominiapplication.cpp:250]: Pause Toggled! Paused: false, PlayerID: 0

[15:18:32][jominiapplication.cpp:250]: Pause Toggled! Paused: true, PlayerID: 1

[15:18:45][jominiapplication.cpp:250]: Pause Toggled! Paused: false, PlayerID: 0

[15:18:49][jominiapplication.cpp:250]: Pause Toggled! Paused: true, PlayerID: 1

[15:18:51][jominiapplication.cpp:250]: Pause Toggled! Paused: false, PlayerID: 0

[15:23:38][jominiapplication.cpp:250]: Pause Toggled! Paused: true, PlayerID: -1

[15:23:44][jominiapplication.cpp:250]: Removing Human! Name: UNKNOWN, ID: 1

[15:23:46][jominiapplication.cpp:250]: Changing game speed to: 4

