[21:27:04][jominiapplication.cpp:298]: Changing game speed to: 2
[21:27:08][jominiapplication.cpp:298]: ================ 读取存档失败 ================
[21:27:08][jominiapplication.cpp:298]: 无法加载该存档，可能是由于以下原因：
indent_newline:2 •存档创建于不兼容的游戏版本
•存档使用了不同的DLC加载集
•存档文件损坏!
[21:27:08][jominiapplication.cpp:298]: ====================================================
[21:28:07][jominiapplication.cpp:298]: Changing game speed to: 2
[21:34:49][jominiapplication.cpp:298]: Pause Toggled! Paused: false, PlayerID: 0
[21:34:49][jominiapplication.cpp:298]: Processing Tick: 1836.1.1.6
[21:34:50][jominiapplication.cpp:298]: Processing Tick: 1836.1.1.12
[21:34:50][jominiapplication.cpp:298]: Processing Tick: 1836.1.1.18
[21:34:51][jominiapplication.cpp:298]: Processing Tick: 1836.1.2
[21:34:51][jominiapplication.cpp:298]: Processing Tick: 1836.1.2.6
[21:34:52][jominiapplication.cpp:298]: Processing Tick: 1836.1.2.12
[21:34:52][jominiapplication.cpp:298]: Processing Tick: 1836.1.2.18
[21:34:53][jominiapplication.cpp:298]: Processing Tick: 1836.1.3
[21:34:53][jominiapplication.cpp:298]: Processing Tick: 1836.1.3.6
[21:34:54][jominiapplication.cpp:298]: Processing Tick: 1836.1.3.12
[21:34:54][jominiapplication.cpp:298]: Processing Tick: 1836.1.3.18
[21:34:55][jominiapplication.cpp:298]: Processing Tick: 1836.1.4
[21:34:55][jominiapplication.cpp:298]: Processing Tick: 1836.1.4.6
[21:34:56][jominiapplication.cpp:298]: Processing Tick: 1836.1.4.12
[21:34:56][jominiapplication.cpp:298]: Processing Tick: 1836.1.4.18
[21:34:57][jominiapplication.cpp:298]: Processing Tick: 1836.1.5
[21:34:57][jominiapplication.cpp:298]: Processing Tick: 1836.1.5.6
[21:34:58][jominiapplication.cpp:298]: Processing Tick: 1836.1.5.12
[21:34:58][jominiapplication.cpp:298]: Processing Tick: 1836.1.5.18
[21:34:59][jominiapplication.cpp:298]: Processing Tick: 1836.1.6
[21:35:00][jominiapplication.cpp:298]: Processing Tick: 1836.1.6.6
[21:35:00][jominiapplication.cpp:298]: Processing Tick: 1836.1.6.12
[21:35:01][jominiapplication.cpp:298]: Processing Tick: 1836.1.6.18
[21:35:01][jominiapplication.cpp:298]: Processing Tick: 1836.1.7
[21:35:02][jominiapplication.cpp:298]: Processing Tick: 1836.1.7.6
[21:35:02][jominiapplication.cpp:298]: Processing Tick: 1836.1.7.12
[21:35:03][jominiapplication.cpp:298]: Processing Tick: 1836.1.7.18
[21:35:03][jominiapplication.cpp:298]: Processing Tick: 1836.1.8
[21:35:04][jominiapplication.cpp:298]: Processing Tick: 1836.1.8.6
[21:35:04][jominiapplication.cpp:298]: Processing Tick: 1836.1.8.12
[21:35:05][jominiapplication.cpp:298]: Processing Tick: 1836.1.8.18
[21:35:05][jominiapplication.cpp:298]: Processing Tick: 1836.1.9
[21:35:06][jominiapplication.cpp:298]: Processing Tick: 1836.1.9.6
[21:35:06][jominiapplication.cpp:298]: Processing Tick: 1836.1.9.12
[21:35:07][jominiapplication.cpp:298]: Processing Tick: 1836.1.9.18
[21:35:07][jominiapplication.cpp:298]: Processing Tick: 1836.1.10
[21:35:08][jominiapplication.cpp:298]: Processing Tick: 1836.1.10.6
[21:35:08][jominiapplication.cpp:298]: Processing Tick: 1836.1.10.12
[21:35:09][jominiapplication.cpp:298]: Processing Tick: 1836.1.10.18
[21:35:09][jominiapplication.cpp:298]: Processing Tick: 1836.1.11
[21:35:10][jominiapplication.cpp:298]: Processing Tick: 1836.1.11.6
[21:35:10][jominiapplication.cpp:298]: Processing Tick: 1836.1.11.12
[21:35:11][jominiapplication.cpp:298]: Processing Tick: 1836.1.11.18
[21:35:11][jominiapplication.cpp:298]: Processing Tick: 1836.1.12
[21:35:12][jominiapplication.cpp:298]: Processing Tick: 1836.1.12.6
[21:35:12][jominiapplication.cpp:298]: Processing Tick: 1836.1.12.12
[21:35:13][jominiapplication.cpp:298]: Processing Tick: 1836.1.12.18
[21:35:13][jominiapplication.cpp:298]: Processing Tick: 1836.1.13
[21:35:14][jominiapplication.cpp:298]: Processing Tick: 1836.1.13.6
[21:35:15][jominiapplication.cpp:298]: Processing Tick: 1836.1.13.12
[21:35:15][jominiapplication.cpp:298]: Processing Tick: 1836.1.13.18
[21:35:16][jominiapplication.cpp:298]: Processing Tick: 1836.1.14
[21:35:16][jominiapplication.cpp:298]: Processing Tick: 1836.1.14.6
[21:35:17][jominiapplication.cpp:298]: Processing Tick: 1836.1.14.12
[21:35:17][jominiapplication.cpp:298]: Processing Tick: 1836.1.14.18
[21:35:18][jominiapplication.cpp:298]: Processing Tick: 1836.1.15
[21:35:18][jominiapplication.cpp:298]: Processing Tick: 1836.1.15.6
[21:35:19][jominiapplication.cpp:298]: Processing Tick: 1836.1.15.12
[21:35:19][jominiapplication.cpp:298]: Processing Tick: 1836.1.15.18
[21:35:20][jominiapplication.cpp:298]: Processing Tick: 1836.1.16
[21:35:20][jominiapplication.cpp:298]: Processing Tick: 1836.1.16.6
[21:35:21][jominiapplication.cpp:298]: Processing Tick: 1836.1.16.12
[21:35:21][jominiapplication.cpp:298]: Processing Tick: 1836.1.16.18
[21:35:22][jominiapplication.cpp:298]: Processing Tick: 1836.1.17
[21:35:22][jominiapplication.cpp:298]: Processing Tick: 1836.1.17.6
[21:35:23][jominiapplication.cpp:298]: Processing Tick: 1836.1.17.12
[21:35:23][jominiapplication.cpp:298]: Processing Tick: 1836.1.17.18
[21:35:24][jominiapplication.cpp:298]: Processing Tick: 1836.1.18
[21:35:24][jominiapplication.cpp:298]: Processing Tick: 1836.1.18.6
[21:35:25][jominiapplication.cpp:298]: Processing Tick: 1836.1.18.12
[21:35:25][jominiapplication.cpp:298]: Processing Tick: 1836.1.18.18
[21:35:26][jominiapplication.cpp:298]: Processing Tick: 1836.1.19
[21:35:26][jominiapplication.cpp:298]: Processing Tick: 1836.1.19.6
[21:35:27][jominiapplication.cpp:298]: Processing Tick: 1836.1.19.12
[21:35:27][jominiapplication.cpp:298]: Processing Tick: 1836.1.19.18
[21:35:28][jominiapplication.cpp:298]: Processing Tick: 1836.1.20
[21:35:28][jominiapplication.cpp:298]: Processing Tick: 1836.1.20.6
[21:35:29][jominiapplication.cpp:298]: Processing Tick: 1836.1.20.12
[21:35:29][jominiapplication.cpp:298]: Processing Tick: 1836.1.20.18
[21:35:30][jominiapplication.cpp:298]: Processing Tick: 1836.1.21
[21:35:30][jominiapplication.cpp:298]: Processing Tick: 1836.1.21.6
[21:35:31][jominiapplication.cpp:298]: Processing Tick: 1836.1.21.12
[21:35:31][jominiapplication.cpp:298]: Processing Tick: 1836.1.21.18
[21:35:32][jominiapplication.cpp:298]: Processing Tick: 1836.1.22
[21:35:32][jominiapplication.cpp:298]: Processing Tick: 1836.1.22.6
[21:35:33][jominiapplication.cpp:298]: Processing Tick: 1836.1.22.12
[21:35:33][jominiapplication.cpp:298]: Processing Tick: 1836.1.22.18
[21:35:34][jominiapplication.cpp:298]: Processing Tick: 1836.1.23
[21:35:34][jominiapplication.cpp:298]: Processing Tick: 1836.1.23.6
[21:35:35][jominiapplication.cpp:298]: Processing Tick: 1836.1.23.12
[21:35:35][jominiapplication.cpp:298]: Processing Tick: 1836.1.23.18
[21:35:36][jominiapplication.cpp:298]: Processing Tick: 1836.1.24
[21:35:37][jominiapplication.cpp:298]: Processing Tick: 1836.1.24.6
[21:35:37][jominiapplication.cpp:298]: Processing Tick: 1836.1.24.12
[21:35:38][jominiapplication.cpp:298]: Processing Tick: 1836.1.24.18
[21:35:38][jominiapplication.cpp:298]: Processing Tick: 1836.1.25
[21:35:39][jominiapplication.cpp:298]: Processing Tick: 1836.1.25.6
[21:35:39][jominiapplication.cpp:298]: Processing Tick: 1836.1.25.12
[21:35:40][jominiapplication.cpp:298]: Processing Tick: 1836.1.25.18
[21:35:40][jominiapplication.cpp:298]: Processing Tick: 1836.1.26
[21:35:41][jominiapplication.cpp:298]: Processing Tick: 1836.1.26.6
[21:35:41][jominiapplication.cpp:298]: Processing Tick: 1836.1.26.12
[21:35:42][jominiapplication.cpp:298]: Processing Tick: 1836.1.26.18
[21:35:42][jominiapplication.cpp:298]: Processing Tick: 1836.1.27
[21:35:43][jominiapplication.cpp:298]: Processing Tick: 1836.1.27.6
[21:35:43][jominiapplication.cpp:298]: Processing Tick: 1836.1.27.12
[21:35:44][jominiapplication.cpp:298]: Processing Tick: 1836.1.27.18
[21:35:44][jominiapplication.cpp:298]: Processing Tick: 1836.1.28
[21:35:45][jominiapplication.cpp:298]: Processing Tick: 1836.1.28.6
[21:35:45][jominiapplication.cpp:298]: Processing Tick: 1836.1.28.12
[21:35:46][jominiapplication.cpp:298]: Processing Tick: 1836.1.28.18
[21:35:47][jominiapplication.cpp:298]: Processing Tick: 1836.1.29
[21:35:47][jominiapplication.cpp:298]: Processing Tick: 1836.1.29.6
[21:35:48][jominiapplication.cpp:298]: Processing Tick: 1836.1.29.12
[21:35:48][jominiapplication.cpp:298]: Processing Tick: 1836.1.29.18
[21:35:49][jominiapplication.cpp:298]: Processing Tick: 1836.1.30
[21:35:49][jominiapplication.cpp:298]: Processing Tick: 1836.1.30.6
[21:35:50][jominiapplication.cpp:298]: Processing Tick: 1836.1.30.12
[21:35:50][jominiapplication.cpp:298]: Processing Tick: 1836.1.30.18
[21:35:51][jominiapplication.cpp:298]: Processing Tick: 1836.1.31
[21:35:51][jominiapplication.cpp:298]: Processing Tick: 1836.1.31.6
[21:35:52][jominiapplication.cpp:298]: Processing Tick: 1836.1.31.12
[21:35:52][jominiapplication.cpp:298]: Processing Tick: 1836.1.31.18
[21:35:53][jominiapplication.cpp:298]: Processing Tick: 1836.2.1
[21:35:54][jominiapplication.cpp:298]: Processing Tick: 1836.2.1.6
[21:35:54][jominiapplication.cpp:298]: Processing Tick: 1836.2.1.12
[21:35:55][jominiapplication.cpp:298]: Processing Tick: 1836.2.1.18
[21:35:55][jominiapplication.cpp:298]: Processing Tick: 1836.2.2
[21:35:56][jominiapplication.cpp:298]: Processing Tick: 1836.2.2.6
[21:35:56][jominiapplication.cpp:298]: Processing Tick: 1836.2.2.12
[21:35:57][jominiapplication.cpp:298]: Processing Tick: 1836.2.2.18
[21:35:57][jominiapplication.cpp:298]: Processing Tick: 1836.2.3
[21:35:58][jominiapplication.cpp:298]: Processing Tick: 1836.2.3.6
[21:35:59][jominiapplication.cpp:298]: Processing Tick: 1836.2.3.12
[21:35:59][jominiapplication.cpp:298]: Processing Tick: 1836.2.3.18
[21:36:00][jominiapplication.cpp:298]: Processing Tick: 1836.2.4
[21:36:00][jominiapplication.cpp:298]: Processing Tick: 1836.2.4.6
[21:36:01][jominiapplication.cpp:298]: Processing Tick: 1836.2.4.12
[21:36:01][jominiapplication.cpp:298]: Processing Tick: 1836.2.4.18
[21:36:02][jominiapplication.cpp:298]: Processing Tick: 1836.2.5
[21:36:02][jominiapplication.cpp:298]: Processing Tick: 1836.2.5.6
[21:36:03][jominiapplication.cpp:298]: Processing Tick: 1836.2.5.12
[21:36:03][jominiapplication.cpp:298]: Processing Tick: 1836.2.5.18
[21:36:04][jominiapplication.cpp:298]: Processing Tick: 1836.2.6
[21:36:04][jominiapplication.cpp:298]: Processing Tick: 1836.2.6.6
[21:36:05][jominiapplication.cpp:298]: Processing Tick: 1836.2.6.12
[21:36:05][jominiapplication.cpp:298]: Processing Tick: 1836.2.6.18
[21:36:06][jominiapplication.cpp:298]: Processing Tick: 1836.2.7
[21:36:06][jominiapplication.cpp:298]: Processing Tick: 1836.2.7.6
[21:36:07][jominiapplication.cpp:298]: Processing Tick: 1836.2.7.12
[21:36:07][jominiapplication.cpp:298]: Processing Tick: 1836.2.7.18
[21:36:08][jominiapplication.cpp:298]: Processing Tick: 1836.2.8
[21:36:08][jominiapplication.cpp:298]: Processing Tick: 1836.2.8.6
[21:36:09][jominiapplication.cpp:298]: Processing Tick: 1836.2.8.12
