[10:42:54][jominiapplication.cpp:435]: ================ 检测到不支持的模组 ================
[10:42:54][jominiapplication.cpp:435]: 你的一些mod适用于Victoria 3的不同版本。这些mod可能无法正常工作，并导致游戏出现问题。为了稳定性，我们建议禁用这些mod，直到它们更新为止。
以下mod已过期：
•Daoyu Cheat - Achievement Available Cheat Tool（支持1.7.0）
•300 Construction Max per week（支持1.6.2）
[10:42:54][jominiapplication.cpp:435]: =============================================================
[10:43:08][jominiapplication.cpp:435]: Changing game speed to: 2
[10:45:40][jominiapplication.cpp:435]: Pause Toggled! Paused: false, PlayerID: 0
[10:45:40][jominiapplication.cpp:435]: Processing Tick: 1847.12.13
[10:45:43][jominiapplication.cpp:435]: Processing Tick: 1847.12.13.6
[10:45:44][jominiapplication.cpp:435]: Processing Tick: 1847.12.13.12
[10:45:44][jominiapplication.cpp:435]: Processing Tick: 1847.12.13.18
[10:45:45][jominiapplication.cpp:435]: Processing Tick: 1847.12.14
[10:45:45][jominiapplication.cpp:435]: Processing Tick: 1847.12.14.6
[10:45:46][jominiapplication.cpp:435]: Processing Tick: 1847.12.14.12
[10:45:46][jominiapplication.cpp:435]: Processing Tick: 1847.12.14.18
[10:45:47][jominiapplication.cpp:435]: Processing Tick: 1847.12.15
[10:45:47][jominiapplication.cpp:435]: Processing Tick: 1847.12.15.6
[10:45:48][jominiapplication.cpp:435]: Processing Tick: 1847.12.15.12
[10:45:48][jominiapplication.cpp:435]: Processing Tick: 1847.12.15.18
[10:45:49][jominiapplication.cpp:435]: Processing Tick: 1847.12.16
[10:45:49][jominiapplication.cpp:435]: Processing Tick: 1847.12.16.6
[10:45:50][jominiapplication.cpp:435]: Processing Tick: 1847.12.16.12
[10:45:50][jominiapplication.cpp:435]: Processing Tick: 1847.12.16.18
[10:45:51][jominiapplication.cpp:435]: Processing Tick: 1847.12.17
[10:45:51][jominiapplication.cpp:435]: Processing Tick: 1847.12.17.6
[10:45:52][jominiapplication.cpp:435]: Processing Tick: 1847.12.17.12
[10:45:52][jominiapplication.cpp:435]: Processing Tick: 1847.12.17.18
[10:45:53][jominiapplication.cpp:435]: Processing Tick: 1847.12.18
[10:45:55][jominiapplication.cpp:435]: Processing Tick: 1847.12.18.6
[10:45:55][jominiapplication.cpp:435]: Processing Tick: 1847.12.18.12
