[14:03:32][jominiapplication.cpp:435]: ================ 删除存档 ================
[14:03:32][jominiapplication.cpp:435]: 存档V; autosave_exit!将被删除。你确定要这么做吗？
[14:03:32][jominiapplication.cpp:435]: ==============================================
[14:03:43][jominiapplication.cpp:435]: Changing game speed to: 2
[14:04:15][jominiapplication.cpp:435]: Pause Toggled! Paused: false, PlayerID: 0
[14:04:15][jominiapplication.cpp:435]: Processing Tick: 1843.4.25.12
[14:04:16][jominiapplication.cpp:435]: Processing Tick: 1843.4.25.18
[14:04:16][jominiapplication.cpp:435]: Processing Tick: 1843.4.26
[14:04:17][jominiapplication.cpp:435]: Processing Tick: 1843.4.26.6
[14:04:17][jominiapplication.cpp:435]: Processing Tick: 1843.4.26.12
[14:04:18][jominiapplication.cpp:435]: Processing Tick: 1843.4.26.18
[14:04:18][jominiapplication.cpp:435]: Processing Tick: 1843.4.27
[14:04:19][jominiapplication.cpp:435]: Processing Tick: 1843.4.27.6
[14:04:19][jominiapplication.cpp:435]: Processing Tick: 1843.4.27.12
[14:04:20][jominiapplication.cpp:435]: Processing Tick: 1843.4.27.18
[14:04:20][jominiapplication.cpp:435]: Processing Tick: 1843.4.28
[14:04:21][jominiapplication.cpp:435]: Processing Tick: 1843.4.28.6
[14:04:22][jominiapplication.cpp:435]: Processing Tick: 1843.4.28.12
[14:04:22][jominiapplication.cpp:435]: Processing Tick: 1843.4.28.18
[14:04:23][jominiapplication.cpp:435]: Processing Tick: 1843.4.29
[14:04:23][jominiapplication.cpp:435]: Processing Tick: 1843.4.29.6
[14:04:24][jominiapplication.cpp:435]: Processing Tick: 1843.4.29.12
[14:04:24][jominiapplication.cpp:435]: Processing Tick: 1843.4.29.18
[14:04:25][jominiapplication.cpp:435]: Processing Tick: 1843.4.30
[14:04:25][jominiapplication.cpp:435]: Processing Tick: 1843.4.30.6
[14:04:26][jominiapplication.cpp:435]: Processing Tick: 1843.4.30.12
[14:04:26][jominiapplication.cpp:435]: Processing Tick: 1843.4.30.18
[14:04:27][jominiapplication.cpp:435]: Processing Tick: 1843.5.1
[14:04:29][jominiapplication.cpp:435]: Processing Tick: 1843.5.1.6
[14:04:29][jominiapplication.cpp:435]: Processing Tick: 1843.5.1.12
[14:04:29][jominiapplication.cpp:435]: Processing Tick: 1843.5.1.18
[14:04:30][jominiapplication.cpp:435]: Processing Tick: 1843.5.2
[14:04:30][jominiapplication.cpp:435]: Processing Tick: 1843.5.2.6
[14:04:31][jominiapplication.cpp:435]: Processing Tick: 1843.5.2.12
[14:04:31][jominiapplication.cpp:435]: Processing Tick: 1843.5.2.18
[14:04:32][jominiapplication.cpp:435]: Processing Tick: 1843.5.3
[14:04:32][jominiapplication.cpp:435]: Processing Tick: 1843.5.3.6
[14:04:33][jominiapplication.cpp:435]: Processing Tick: 1843.5.3.12
[14:04:33][jominiapplication.cpp:435]: Processing Tick: 1843.5.3.18
[14:04:34][jominiapplication.cpp:435]: Processing Tick: 1843.5.4
[14:04:34][jominiapplication.cpp:435]: Processing Tick: 1843.5.4.6
[14:04:35][jominiapplication.cpp:435]: Processing Tick: 1843.5.4.12
[14:04:35][jominiapplication.cpp:435]: Processing Tick: 1843.5.4.18
[14:04:36][jominiapplication.cpp:435]: Processing Tick: 1843.5.5
[14:04:37][jominiapplication.cpp:435]: Processing Tick: 1843.5.5.6
[14:04:37][jominiapplication.cpp:435]: Processing Tick: 1843.5.5.12
[14:04:38][jominiapplication.cpp:435]: Processing Tick: 1843.5.5.18
[14:04:38][jominiapplication.cpp:435]: Processing Tick: 1843.5.6
[14:04:39][jominiapplication.cpp:435]: Processing Tick: 1843.5.6.6
[14:04:39][jominiapplication.cpp:435]: Processing Tick: 1843.5.6.12
[14:04:40][jominiapplication.cpp:435]: Processing Tick: 1843.5.6.18
[14:04:40][jominiapplication.cpp:435]: Processing Tick: 1843.5.7
[14:04:41][jominiapplication.cpp:435]: Processing Tick: 1843.5.7.6
[14:04:41][jominiapplication.cpp:435]: Processing Tick: 1843.5.7.12
[14:04:42][jominiapplication.cpp:435]: Processing Tick: 1843.5.7.18
[14:04:42][jominiapplication.cpp:435]: Processing Tick: 1843.5.8
[14:04:43][jominiapplication.cpp:435]: Processing Tick: 1843.5.8.6
[14:04:43][jominiapplication.cpp:435]: Processing Tick: 1843.5.8.12
[14:04:44][jominiapplication.cpp:435]: Processing Tick: 1843.5.8.18
[14:04:44][jominiapplication.cpp:435]: Processing Tick: 1843.5.9
[14:04:45][jominiapplication.cpp:435]: Processing Tick: 1843.5.9.6
[14:04:45][jominiapplication.cpp:435]: Processing Tick: 1843.5.9.12
[14:04:46][jominiapplication.cpp:435]: Processing Tick: 1843.5.9.18
[14:04:46][jominiapplication.cpp:435]: Processing Tick: 1843.5.10
[14:04:47][jominiapplication.cpp:435]: Processing Tick: 1843.5.10.6
[14:04:47][jominiapplication.cpp:435]: Processing Tick: 1843.5.10.12
[14:04:48][jominiapplication.cpp:435]: Processing Tick: 1843.5.10.18
[14:04:48][jominiapplication.cpp:435]: Processing Tick: 1843.5.11
[14:04:49][jominiapplication.cpp:435]: Processing Tick: 1843.5.11.6
[14:04:49][jominiapplication.cpp:435]: Processing Tick: 1843.5.11.12
[14:04:50][jominiapplication.cpp:435]: Processing Tick: 1843.5.11.18
[14:04:50][jominiapplication.cpp:435]: Processing Tick: 1843.5.12
[14:04:51][jominiapplication.cpp:435]: Processing Tick: 1843.5.12.6
[14:04:52][jominiapplication.cpp:435]: Processing Tick: 1843.5.12.12
[14:04:52][jominiapplication.cpp:435]: Processing Tick: 1843.5.12.18
[14:04:53][jominiapplication.cpp:435]: Processing Tick: 1843.5.13
[14:04:53][jominiapplication.cpp:435]: Processing Tick: 1843.5.13.6
[14:04:54][jominiapplication.cpp:435]: Processing Tick: 1843.5.13.12
[14:04:54][jominiapplication.cpp:435]: Processing Tick: 1843.5.13.18
[14:04:55][jominiapplication.cpp:435]: Processing Tick: 1843.5.14
[14:04:55][jominiapplication.cpp:435]: Processing Tick: 1843.5.14.6
[14:04:56][jominiapplication.cpp:435]: Processing Tick: 1843.5.14.12
[14:04:56][jominiapplication.cpp:435]: Processing Tick: 1843.5.14.18
[14:04:57][jominiapplication.cpp:435]: Processing Tick: 1843.5.15
[14:04:57][jominiapplication.cpp:435]: Processing Tick: 1843.5.15.6
[14:04:58][jominiapplication.cpp:435]: Processing Tick: 1843.5.15.12
[14:04:58][jominiapplication.cpp:435]: Processing Tick: 1843.5.15.18
[14:04:59][jominiapplication.cpp:435]: Processing Tick: 1843.5.16
[14:04:59][jominiapplication.cpp:435]: Processing Tick: 1843.5.16.6
[14:05:00][jominiapplication.cpp:435]: Processing Tick: 1843.5.16.12
[14:05:00][jominiapplication.cpp:435]: Processing Tick: 1843.5.16.18
[14:05:01][jominiapplication.cpp:435]: Processing Tick: 1843.5.17
[14:05:01][jominiapplication.cpp:435]: Processing Tick: 1843.5.17.6
[14:05:02][jominiapplication.cpp:435]: Processing Tick: 1843.5.17.12
[14:05:02][jominiapplication.cpp:435]: Processing Tick: 1843.5.17.18
[14:05:03][jominiapplication.cpp:435]: Processing Tick: 1843.5.18
[14:05:03][jominiapplication.cpp:435]: Processing Tick: 1843.5.18.6
[14:05:04][jominiapplication.cpp:435]: Processing Tick: 1843.5.18.12
[14:05:04][jominiapplication.cpp:435]: Processing Tick: 1843.5.18.18
[14:05:05][jominiapplication.cpp:435]: Processing Tick: 1843.5.19
[14:05:06][jominiapplication.cpp:435]: Processing Tick: 1843.5.19.6
[14:05:06][jominiapplication.cpp:435]: Processing Tick: 1843.5.19.12
[14:05:07][jominiapplication.cpp:435]: Processing Tick: 1843.5.19.18
[14:05:07][jominiapplication.cpp:435]: Processing Tick: 1843.5.20
[14:05:08][jominiapplication.cpp:435]: Processing Tick: 1843.5.20.6
[14:05:08][jominiapplication.cpp:435]: Processing Tick: 1843.5.20.12
[14:05:09][jominiapplication.cpp:435]: Processing Tick: 1843.5.20.18
[14:05:09][jominiapplication.cpp:435]: Processing Tick: 1843.5.21
[14:05:10][jominiapplication.cpp:435]: Processing Tick: 1843.5.21.6
[14:05:10][jominiapplication.cpp:435]: Processing Tick: 1843.5.21.12
[14:05:11][jominiapplication.cpp:435]: Processing Tick: 1843.5.21.18
[14:05:11][jominiapplication.cpp:435]: Processing Tick: 1843.5.22
[14:05:12][jominiapplication.cpp:435]: Processing Tick: 1843.5.22.6
[14:05:12][jominiapplication.cpp:435]: Processing Tick: 1843.5.22.12
[14:05:13][jominiapplication.cpp:435]: Processing Tick: 1843.5.22.18
[14:05:13][jominiapplication.cpp:435]: Processing Tick: 1843.5.23
[14:05:14][jominiapplication.cpp:435]: Processing Tick: 1843.5.23.6
[14:05:14][jominiapplication.cpp:435]: Processing Tick: 1843.5.23.12
[14:05:15][jominiapplication.cpp:435]: Processing Tick: 1843.5.23.18
[14:05:15][jominiapplication.cpp:435]: Processing Tick: 1843.5.24
[14:05:16][jominiapplication.cpp:435]: Processing Tick: 1843.5.24.6
[14:05:16][jominiapplication.cpp:435]: Processing Tick: 1843.5.24.12
[14:05:17][jominiapplication.cpp:435]: Processing Tick: 1843.5.24.18
[14:05:17][jominiapplication.cpp:435]: Processing Tick: 1843.5.25
[14:05:18][jominiapplication.cpp:435]: Processing Tick: 1843.5.25.6
[14:05:18][jominiapplication.cpp:435]: Processing Tick: 1843.5.25.12
[14:05:19][jominiapplication.cpp:435]: Processing Tick: 1843.5.25.18
[14:05:19][jominiapplication.cpp:435]: Processing Tick: 1843.5.26
[14:05:20][jominiapplication.cpp:435]: Processing Tick: 1843.5.26.6
[14:05:20][jominiapplication.cpp:435]: Processing Tick: 1843.5.26.12
[14:05:21][jominiapplication.cpp:435]: Processing Tick: 1843.5.26.18
[14:05:21][jominiapplication.cpp:435]: Processing Tick: 1843.5.27
[14:05:22][jominiapplication.cpp:435]: Processing Tick: 1843.5.27.6
[14:05:22][jominiapplication.cpp:435]: Processing Tick: 1843.5.27.12
[14:05:23][jominiapplication.cpp:435]: Processing Tick: 1843.5.27.18
[14:05:23][jominiapplication.cpp:435]: Processing Tick: 1843.5.28
[14:05:24][jominiapplication.cpp:435]: Processing Tick: 1843.5.28.6
[14:05:24][jominiapplication.cpp:435]: Processing Tick: 1843.5.28.12
[14:05:25][jominiapplication.cpp:435]: Processing Tick: 1843.5.28.18
[14:05:26][jominiapplication.cpp:435]: Processing Tick: 1843.5.29
[14:05:26][jominiapplication.cpp:435]: Processing Tick: 1843.5.29.6
[14:05:27][jominiapplication.cpp:435]: Processing Tick: 1843.5.29.12
[14:05:27][jominiapplication.cpp:435]: Processing Tick: 1843.5.29.18
[14:05:28][jominiapplication.cpp:435]: Processing Tick: 1843.5.30
[14:05:28][jominiapplication.cpp:435]: Processing Tick: 1843.5.30.6
[14:05:29][jominiapplication.cpp:435]: Processing Tick: 1843.5.30.12
[14:05:29][jominiapplication.cpp:435]: Processing Tick: 1843.5.30.18
[14:05:30][jominiapplication.cpp:435]: Processing Tick: 1843.5.31
[14:05:30][jominiapplication.cpp:435]: Processing Tick: 1843.5.31.6
[14:05:31][jominiapplication.cpp:435]: Processing Tick: 1843.5.31.12
[14:05:31][jominiapplication.cpp:435]: Processing Tick: 1843.5.31.18
[14:05:32][jominiapplication.cpp:435]: Processing Tick: 1843.6.1
[14:05:34][jominiapplication.cpp:435]: Processing Tick: 1843.6.1.6
[14:05:34][jominiapplication.cpp:435]: Processing Tick: 1843.6.1.12
[14:05:34][jominiapplication.cpp:435]: Processing Tick: 1843.6.1.18
[14:05:35][jominiapplication.cpp:435]: Processing Tick: 1843.6.2
[14:05:36][jominiapplication.cpp:435]: Processing Tick: 1843.6.2.6
[14:05:36][jominiapplication.cpp:435]: Processing Tick: 1843.6.2.12
[14:05:37][jominiapplication.cpp:435]: Processing Tick: 1843.6.2.18
[14:05:37][jominiapplication.cpp:435]: Processing Tick: 1843.6.3
[14:05:38][jominiapplication.cpp:435]: Processing Tick: 1843.6.3.6
[14:05:38][jominiapplication.cpp:435]: Processing Tick: 1843.6.3.12
[14:05:39][jominiapplication.cpp:435]: Processing Tick: 1843.6.3.18
[14:05:39][jominiapplication.cpp:435]: Processing Tick: 1843.6.4
[14:05:40][jominiapplication.cpp:435]: Processing Tick: 1843.6.4.6
[14:05:40][jominiapplication.cpp:435]: Processing Tick: 1843.6.4.12
[14:05:41][jominiapplication.cpp:435]: Processing Tick: 1843.6.4.18
[14:05:41][jominiapplication.cpp:435]: Processing Tick: 1843.6.5
[14:05:42][jominiapplication.cpp:435]: Processing Tick: 1843.6.5.6
[14:05:42][jominiapplication.cpp:435]: Processing Tick: 1843.6.5.12
[14:05:43][jominiapplication.cpp:435]: Processing Tick: 1843.6.5.18
[14:05:43][jominiapplication.cpp:435]: Processing Tick: 1843.6.6
[14:05:44][jominiapplication.cpp:435]: Processing Tick: 1843.6.6.6
[14:05:44][jominiapplication.cpp:435]: Processing Tick: 1843.6.6.12
[14:05:45][jominiapplication.cpp:435]: Processing Tick: 1843.6.6.18
[14:05:45][jominiapplication.cpp:435]: Processing Tick: 1843.6.7
[14:05:46][jominiapplication.cpp:435]: Processing Tick: 1843.6.7.6
[14:05:46][jominiapplication.cpp:435]: Processing Tick: 1843.6.7.12
[14:05:47][jominiapplication.cpp:435]: Processing Tick: 1843.6.7.18
[14:05:47][jominiapplication.cpp:435]: Processing Tick: 1843.6.8
[14:05:48][jominiapplication.cpp:435]: Processing Tick: 1843.6.8.6
[14:05:48][jominiapplication.cpp:435]: Processing Tick: 1843.6.8.12
[14:05:49][jominiapplication.cpp:435]: Processing Tick: 1843.6.8.18
[14:05:49][jominiapplication.cpp:435]: Processing Tick: 1843.6.9
[14:05:50][jominiapplication.cpp:435]: Processing Tick: 1843.6.9.6
[14:05:51][jominiapplication.cpp:435]: Processing Tick: 1843.6.9.12
[14:05:51][jominiapplication.cpp:435]: Processing Tick: 1843.6.9.18
[14:05:52][jominiapplication.cpp:435]: Processing Tick: 1843.6.10
[14:05:52][jominiapplication.cpp:435]: Processing Tick: 1843.6.10.6
[14:05:53][jominiapplication.cpp:435]: Processing Tick: 1843.6.10.12
[14:05:53][jominiapplication.cpp:435]: Processing Tick: 1843.6.10.18
[14:05:54][jominiapplication.cpp:435]: Processing Tick: 1843.6.11
[14:05:54][jominiapplication.cpp:435]: Processing Tick: 1843.6.11.6
[14:05:55][jominiapplication.cpp:435]: Processing Tick: 1843.6.11.12
[14:05:55][jominiapplication.cpp:435]: Processing Tick: 1843.6.11.18
[14:05:56][jominiapplication.cpp:435]: Processing Tick: 1843.6.12
[14:05:56][jominiapplication.cpp:435]: Processing Tick: 1843.6.12.6
[14:05:57][jominiapplication.cpp:435]: Processing Tick: 1843.6.12.12
[14:05:57][jominiapplication.cpp:435]: Processing Tick: 1843.6.12.18
[14:05:58][jominiapplication.cpp:435]: Processing Tick: 1843.6.13
[14:05:58][jominiapplication.cpp:435]: Processing Tick: 1843.6.13.6
[14:05:59][jominiapplication.cpp:435]: Processing Tick: 1843.6.13.12
[14:05:59][jominiapplication.cpp:435]: Processing Tick: 1843.6.13.18
[14:06:00][jominiapplication.cpp:435]: Processing Tick: 1843.6.14
[14:06:00][jominiapplication.cpp:435]: Processing Tick: 1843.6.14.6
[14:06:01][jominiapplication.cpp:435]: Processing Tick: 1843.6.14.12
[14:06:01][jominiapplication.cpp:435]: Processing Tick: 1843.6.14.18
[14:06:02][jominiapplication.cpp:435]: Processing Tick: 1843.6.15
[14:06:02][jominiapplication.cpp:435]: Processing Tick: 1843.6.15.6
[14:06:03][jominiapplication.cpp:435]: Processing Tick: 1843.6.15.12
[14:06:03][jominiapplication.cpp:435]: Processing Tick: 1843.6.15.18
[14:06:04][jominiapplication.cpp:435]: Processing Tick: 1843.6.16
[14:06:05][jominiapplication.cpp:435]: Processing Tick: 1843.6.16.6
[14:06:05][jominiapplication.cpp:435]: Processing Tick: 1843.6.16.12
[14:06:06][jominiapplication.cpp:435]: Processing Tick: 1843.6.16.18
[14:06:06][jominiapplication.cpp:435]: Processing Tick: 1843.6.17
[14:06:07][jominiapplication.cpp:435]: Processing Tick: 1843.6.17.6
[14:06:07][jominiapplication.cpp:435]: Processing Tick: 1843.6.17.12
[14:06:08][jominiapplication.cpp:435]: Processing Tick: 1843.6.17.18
[14:06:08][jominiapplication.cpp:435]: Processing Tick: 1843.6.18
[14:06:09][jominiapplication.cpp:435]: Processing Tick: 1843.6.18.6
[14:06:09][jominiapplication.cpp:435]: Processing Tick: 1843.6.18.12
[14:06:10][jominiapplication.cpp:435]: Processing Tick: 1843.6.18.18
[14:06:10][jominiapplication.cpp:435]: Processing Tick: 1843.6.19
[14:06:11][jominiapplication.cpp:435]: Processing Tick: 1843.6.19.6
[14:06:11][jominiapplication.cpp:435]: Processing Tick: 1843.6.19.12
[14:06:12][jominiapplication.cpp:435]: Processing Tick: 1843.6.19.18
[14:06:12][jominiapplication.cpp:435]: Processing Tick: 1843.6.20
[14:06:13][jominiapplication.cpp:435]: Processing Tick: 1843.6.20.6
